iter	Passed	Remaining
0	133	133113
1	230	115188
2	321	106869
3	414	103237
4	507	101032
5	601	99593
6	694	98509
7	787	97702
8	880	96938
9	972	96285
10	1066	95915
11	1165	95934
12	1261	95740
13	1356	95536
14	1452	95405
15	1547	95140
16	1640	94832
17	1734	94616
18	1826	94296
19	1918	94007
20	2011	93761
21	2106	93643
22	2199	93449
23	2291	93200
24	2386	93069
25	2476	92769
26	2574	92784
27	2667	92592
28	2759	92401
29	2851	92198
30	2945	92055
31	3049	92259
32	3139	92004
33	3237	91996
34	3330	91817
35	3423	91682
36	3515	91496
37	3605	91279
38	3698	91125
39	3791	90997
40	3882	90815
41	3976	90691
42	4065	90491
43	4158	90363
44	4251	90218
45	4340	90017
46	4434	89920
47	4527	89801
48	4618	89645
49	4710	89499
50	4803	89374
51	4893	89219
52	4987	89116
53	5080	88997
54	5173	88892
55	5272	88875
56	5365	88763
57	5457	88639
58	5549	88503
59	5644	88432
60	5738	88329
61	5829	88199
62	5923	88102
63	6016	87996
64	6109	87882
65	6201	87755
66	6295	87667
67	6386	87530
68	6475	87374
69	6568	87266
70	6658	87125
71	6754	87060
72	6846	86939
73	6937	86807
74	7028	86690
75	7124	86616
76	7222	86576
77	7319	86521
78	7411	86400
79	7504	86299
80	7599	86217
81	7691	86102
82	7782	85978
83	7875	85877
84	7968	85773
85	8061	85679
86	8150	85537
87	8242	85417
88	8334	85306
89	8425	85186
90	8518	85092
91	8613	85015
92	8705	84901
93	8797	84794
94	8891	84701
95	8982	84580
96	9074	84478
97	9166	84370
98	9263	84302
99	9356	84208
100	9448	84100
101	9539	83984
102	9630	83871
103	9721	83753
104	9812	83640
105	9905	83540
106	10002	83476
107	10092	83353
108	10184	83248
109	10281	83184
110	10373	83084
111	10464	82967
112	10557	82875
113	10649	82770
114	10742	82672
115	10838	82599
116	10930	82490
117	11022	82385
118	11113	82275
119	11206	82177
120	11299	82082
121	11394	82002
122	11488	81915
123	11587	81861
124	11688	81818
125	11794	81814
126	11897	81786
127	11999	81743
128	12097	81679
129	12191	81588
130	12287	81511
131	12383	81431
132	12479	81353
133	12573	81261
134	12664	81149
135	12757	81047
136	12849	80939
137	12940	80828
138	13034	80736
139	13126	80634
140	13220	80544
141	13313	80442
142	13403	80327
143	13494	80217
144	13587	80120
145	13679	80016
146	13773	79924
147	13867	79830
148	13963	79751
149	14058	79662
150	14149	79556
151	14245	79476
152	14337	79371
153	14429	79267
154	14524	79181
155	14615	79074
156	14707	78970
157	14798	78861
158	14894	78783
159	14985	78673
160	15078	78576
161	15170	78476
162	15264	78384
163	15357	78287
164	15453	78203
165	15548	78116
166	15639	78011
167	15731	77906
168	15825	77814
169	15914	77702
170	16019	77661
171	16117	77588
172	16210	77491
173	16300	77381
174	16388	77259
175	16481	77164
176	16573	77060
177	16665	76961
178	16758	76863
179	16850	76763
180	16947	76683
181	17040	76586
182	17136	76506
183	17230	76412
184	17324	76323
185	17417	76224
186	17508	76117
187	17601	76023
188	17694	75925
189	17789	75841
190	17882	75745
191	17975	75647
192	18070	75557
193	18162	75457
194	18254	75358
195	18347	75263
196	18438	75159
197	18532	75064
198	18626	74974
199	18718	74873
200	18810	74772
201	18899	74663
202	18994	74574
203	19085	74471
204	19179	74378
205	19272	74284
206	19365	74188
207	19457	74089
208	19550	73992
209	19643	73895
210	19733	73789
211	19825	73689
212	19917	73591
213	20009	73491
214	20102	73397
215	20196	73305
216	20289	73210
217	20382	73116
218	20473	73011
219	20565	72912
220	20658	72817
221	20753	72731
222	20844	72629
223	20936	72531
224	21026	72424
225	21118	72326
226	21212	72234
227	21302	72130
228	21392	72026
229	21484	71926
230	21576	71828
231	21673	71747
232	21769	71662
233	21862	71566
234	21951	71458
235	22043	71360
236	22134	71260
237	22227	71164
238	22319	71065
239	22411	70970
240	22502	70868
241	22602	70796
242	22698	70710
243	22794	70626
244	22890	70541
245	22982	70442
246	23075	70348
247	23168	70252
248	23258	70147
249	23349	70048
250	23439	69945
251	23535	69859
252	23629	69768
253	23724	69677
254	23816	69581
255	23909	69486
256	24000	69387
257	24092	69289
258	24185	69193
259	24275	69092
260	24369	68999
261	24459	68898
262	24554	68807
263	24643	68702
264	24735	68606
265	24827	68507
266	24920	68413
267	25011	68313
268	25105	68224
269	25194	68119
270	25286	68021
271	25381	67932
272	25480	67855
273	25574	67763
274	25665	67662
275	25758	67568
276	25853	67480
277	25946	67387
278	26041	67296
279	26135	67206
280	26226	67107
281	26321	67016
282	26413	66921
283	26505	66824
284	26598	66729
285	26692	66636
286	26784	66542
287	26877	66446
288	26971	66354
289	27067	66268
290	27159	66171
291	27245	66062
292	27333	65955
293	27426	65861
294	27520	65769
295	27611	65671
296	27707	65584
297	27800	65489
298	27898	65407
299	27997	65326
300	28092	65237
301	28184	65142
302	28277	65047
303	28374	64963
304	28462	64856
305	28551	64753
306	28645	64661
307	28737	64566
308	28829	64470
309	28934	64402
310	29028	64309
311	29119	64212
312	29212	64118
313	29304	64022
314	29396	63924
315	29490	63834
316	29582	63737
317	29676	63646
318	29770	63553
319	29864	63461
320	29956	63366
321	30050	63273
322	30140	63173
323	30231	63075
324	30324	62981
325	30418	62889
326	30511	62795
327	30604	62701
328	30694	62602
329	30785	62504
330	30877	62407
331	30971	62316
332	31066	62225
333	31158	62129
334	31254	62043
335	31347	61948
336	31438	61849
337	31529	61752
338	31619	61652
339	31711	61557
340	31808	61471
341	31899	61373
342	31991	61278
343	32083	61182
344	32176	61089
345	32267	60991
346	32358	60893
347	32449	60795
348	32542	60701
349	32635	60609
350	32727	60513
351	32819	60418
352	32913	60326
353	33005	60231
354	33100	60140
355	33191	60043
356	33282	59946
357	33376	59854
358	33467	59756
359	33562	59666
360	33653	59569
361	33746	59475
362	33839	59381
363	33935	59294
364	34035	59212
365	34135	59130
366	34240	59058
367	34334	58965
368	34428	58874
369	34522	58782
370	34615	58687
371	34709	58596
372	34802	58501
373	34889	58398
374	34979	58299
375	35075	58210
376	35170	58120
377	35265	58028
378	35358	57935
379	35451	57841
380	35545	57750
381	35639	57657
382	35731	57561
383	35824	57467
384	35917	57374
385	36007	57276
386	36102	57185
387	36196	57093
388	36289	56999
389	36379	56901
390	36472	56807
391	36570	56721
392	36662	56625
393	36753	56529
394	36848	56438
395	36940	56343
396	37033	56249
397	37124	56153
398	37218	56061
399	37311	55967
400	37405	55875
401	37501	55785
402	37594	55691
403	37685	55595
404	37777	55499
405	37873	55411
406	37969	55321
407	38060	55224
408	38152	55129
409	38244	55034
410	38339	54944
411	38434	54852
412	38527	54759
413	38622	54667
414	38714	54572
415	38807	54480
416	38904	54391
417	38995	54295
418	39086	54198
419	39181	54108
420	39272	54010
421	39366	53919
422	39459	53825
423	39563	53746
424	39655	53651
425	39751	53562
426	39846	53470
427	39937	53375
428	40030	53280
429	40126	53190
430	40218	53096
431	40308	52998
432	40402	52906
433	40497	52814
434	40598	52731
435	40688	52634
436	40782	52541
437	40871	52442
438	40963	52347
439	41064	52263
440	41157	52170
441	41249	52074
442	41341	51980
443	41439	51892
444	41532	51798
445	41624	51704
446	41717	51610
447	41807	51512
448	41909	51430
449	42002	51336
450	42098	51246
451	42195	51157
452	42290	51065
453	42382	50971
454	42477	50880
455	42572	50787
456	42669	50699
457	42783	50630
458	42877	50537
459	42986	50461
460	43092	50383
461	43187	50292
462	43284	50202
463	43376	50107
464	43474	50018
465	43564	49921
466	43658	49829
467	43750	49733
468	43847	49643
469	43939	49548
470	44032	49454
471	44130	49365
472	44226	49275
473	44316	49178
474	44412	49087
475	44502	48990
476	44595	48896
477	44690	48804
478	44788	48715
479	44882	48622
480	44974	48527
481	45066	48432
482	45163	48343
483	45257	48249
484	45347	48152
485	45438	48056
486	45531	47962
487	45625	47869
488	45716	47773
489	45809	47679
490	45904	47587
491	45999	47495
492	46091	47400
493	46182	47304
494	46276	47211
495	46371	47119
496	46463	47024
497	46559	46933
498	46649	46836
499	46743	46743
500	46837	46650
501	46929	46555
502	47028	46467
503	47122	46374
504	47217	46282
505	47309	46187
506	47403	46094
507	47498	46002
508	47590	45907
509	47682	45812
510	47775	45718
511	47875	45631
512	47970	45539
513	48062	45444
514	48157	45352
515	48249	45257
516	48341	45162
517	48433	45067
518	48527	44974
519	48621	44881
520	48717	44789
521	48815	44700
522	48910	44608
523	49009	44520
524	49102	44426
525	49195	44332
526	49285	44235
527	49379	44142
528	49473	44049
529	49563	43952
530	49656	43858
531	49748	43763
532	49841	43669
533	49934	43575
534	50028	43482
535	50123	43390
536	50219	43299
537	50311	43204
538	50405	43111
539	50498	43017
540	50589	42921
541	50683	42828
542	50781	42738
543	50875	42645
544	50973	42555
545	51071	42466
546	51163	42370
547	51255	42276
548	51351	42184
549	51445	42091
550	51537	41996
551	51629	41902
552	51722	41807
553	51814	41713
554	51910	41621
555	52008	41531
556	52098	41435
557	52193	41343
558	52288	41251
559	52383	41158
560	52477	41065
561	52573	40973
562	52665	40878
563	52760	40786
564	52854	40693
565	52946	40598
566	53041	40506
567	53133	40411
568	53223	40315
569	53313	40218
570	53416	40132
571	53511	40039
572	53604	39945
573	53699	39853
574	53791	39758
575	53887	39667
576	53982	39574
577	54073	39479
578	54167	39385
579	54258	39290
580	54351	39196
581	54443	39101
582	54535	39007
583	54629	38913
584	54722	38820
585	54821	38730
586	54913	38636
587	55005	38541
588	55099	38447
589	55197	38357
590	55289	38262
591	55383	38169
592	55476	38075
593	55568	37981
594	55662	37887
595	55754	37793
596	55847	37699
597	55945	37608
598	56039	37515
599	56134	37423
600	56233	37333
601	56324	37237
602	56418	37144
603	56511	37050
604	56604	36956
605	56696	36862
606	56791	36769
607	56884	36675
608	56976	36581
609	57072	36488
610	57160	36391
611	57248	36294
612	57339	36199
613	57433	36106
614	57529	36014
615	57623	35920
616	57717	35828
617	57820	35740
618	57923	35652
619	58017	35559
620	58107	35463
621	58199	35368
622	58292	35275
623	58384	35180
624	58476	35086
625	58569	34991
626	58664	34899
627	58756	34804
628	58849	34711
629	58943	34617
630	59036	34523
631	59128	34429
632	59221	34335
633	59316	34242
634	59409	34148
635	59501	34054
636	59593	33960
637	59685	33865
638	59776	33770
639	59870	33677
640	59966	33584
641	60070	33497
642	60175	33410
643	60266	33315
644	60357	33219
645	60447	33124
646	60544	33032
647	60633	32936
648	60725	32842
649	60819	32749
650	60913	32655
651	61007	32562
652	61101	32468
653	61192	32373
654	61286	32280
655	61378	32186
656	61472	32092
657	61566	31999
658	61660	31906
659	61753	31812
660	61847	31719
661	61938	31624
662	62029	31529
663	62121	31434
664	62213	31340
665	62306	31246
666	62400	31153
667	62490	31058
668	62583	30964
669	62675	30870
670	62767	30775
671	62859	30681
672	62952	30587
673	63044	30493
674	63134	30398
675	63227	30304
676	63320	30210
677	63414	30117
678	63507	30023
679	63600	29929
680	63695	29836
681	63786	29742
682	63881	29649
683	63974	29555
684	64065	29460
685	64157	29366
686	64246	29271
687	64343	29178
688	64436	29085
689	64529	28991
690	64620	28897
691	64717	28805
692	64809	28710
693	64902	28617
694	64994	28522
695	65084	28427
696	65179	28334
697	65269	28239
698	65361	28145
699	65451	28050
700	65544	27956
701	65645	27866
702	65741	27773
703	65831	27679
704	65924	27585
705	66022	27493
706	66120	27402
707	66215	27309
708	66306	27214
709	66394	27118
710	66485	27024
711	66578	26930
712	66671	26836
713	66763	26742
714	66853	26648
715	66948	26555
716	67041	26461
717	67143	26371
718	67236	26277
719	67327	26182
720	67421	26089
721	67517	25996
722	67608	25902
723	67700	25808
724	67791	25713
725	67883	25619
726	67981	25527
727	68073	25433
728	68164	25339
729	68257	25245
730	68350	25152
731	68440	25057
732	68530	24962
733	68620	24867
734	68717	24775
735	68811	24682
736	68902	24587
737	68992	24493
738	69086	24399
739	69178	24305
740	69271	24212
741	69367	24119
742	69461	24026
743	69553	23932
744	69643	23837
745	69739	23745
746	69833	23651
747	69927	23558
748	70020	23464
749	70112	23370
750	70205	23277
751	70298	23183
752	70391	23089
753	70482	22995
754	70575	22901
755	70668	22808
756	70760	22714
757	70853	22620
758	70952	22529
759	71047	22435
760	71136	22341
761	71240	22250
762	71331	22156
763	71424	22062
764	71516	21969
765	71609	21875
766	71702	21781
767	71796	21688
768	71888	21594
769	71980	21500
770	72075	21407
771	72166	21313
772	72262	21220
773	72357	21127
774	72447	21033
775	72541	20939
776	72632	20845
777	72725	20751
778	72823	20659
779	72916	20566
780	73011	20473
781	73108	20380
782	73200	20286
783	73299	20194
784	73394	20101
785	73487	20008
786	73582	19915
787	73675	19821
788	73766	19727
789	73862	19634
790	73954	19540
791	74054	19448
792	74158	19357
793	74268	19268
794	74372	19177
795	74466	19084
796	74560	18990
797	74652	18897
798	74761	18807
799	74850	18712
800	74945	18619
801	75039	18525
802	75132	18432
803	75223	18338
804	75316	18244
805	75410	18150
806	75501	18056
807	75594	17963
808	75686	17869
809	75779	17775
810	75871	17681
811	75966	17588
812	76059	17494
813	76152	17400
814	76246	17307
815	76341	17214
816	76434	17120
817	76534	17028
818	76621	16933
819	76724	16842
820	76818	16748
821	76911	16654
822	77005	16561
823	77106	16469
824	77199	16375
825	77294	16282
826	77389	16189
827	77482	16095
828	77574	16001
829	77669	15908
830	77764	15814
831	77856	15720
832	77951	15627
833	78047	15534
834	78143	15441
835	78236	15347
836	78332	15254
837	78432	15162
838	78525	15068
839	78616	14974
840	78710	14881
841	78803	14787
842	78895	14693
843	78989	14599
844	79082	14506
845	79178	14413
846	79268	14318
847	79359	14224
848	79451	14131
849	79544	14037
850	79638	13943
851	79736	13850
852	79842	13759
853	79934	13665
854	80028	13572
855	80124	13478
856	80215	13384
857	80308	13291
858	80402	13197
859	80492	13103
860	80585	13009
861	80677	12915
862	80776	12823
863	80868	12729
864	80959	12635
865	81051	12541
866	81145	12447
867	81235	12353
868	81325	12259
869	81418	12165
870	81513	12072
871	81603	11978
872	81696	11884
873	81789	11791
874	81880	11697
875	81973	11603
876	82069	11510
877	82161	11416
878	82253	11322
879	82346	11229
880	82437	11135
881	82533	11041
882	82624	10947
883	82730	10856
884	82826	10762
885	82922	10669
886	83015	10575
887	83111	10482
888	83203	10388
889	83296	10295
890	83390	10201
891	83482	10107
892	83575	10014
893	83667	9920
894	83767	9827
895	83864	9734
896	83965	9641
897	84060	9548
898	84155	9454
899	84247	9360
900	84340	9267
901	84432	9173
902	84522	9079
903	84615	8985
904	84708	8892
905	84799	8798
906	84895	8704
907	84990	8611
908	85084	8517
909	85182	8424
910	85273	8330
911	85365	8236
912	85459	8143
913	85553	8049
914	85648	7956
915	85739	7862
916	85828	7768
917	85928	7675
918	86023	7582
919	86126	7489
920	86220	7395
921	86313	7302
922	86409	7208
923	86504	7115
924	86597	7021
925	86690	6927
926	86785	6834
927	86876	6740
928	86967	6646
929	87060	6552
930	87154	6459
931	87245	6365
932	87338	6271
933	87432	6178
934	87527	6084
935	87621	5991
936	87712	5897
937	87803	5803
938	87893	5709
939	87988	5616
940	88084	5522
941	88176	5429
942	88276	5335
943	88365	5242
944	88456	5148
945	88552	5054
946	88643	4961
947	88741	4867
948	88833	4773
949	88926	4680
950	89018	4586
951	89106	4492
952	89200	4399
953	89292	4305
954	89383	4211
955	89476	4118
956	89567	4024
957	89663	3930
958	89769	3837
959	89860	3744
960	89952	3650
961	90043	3556
962	90137	3463
963	90232	3369
964	90323	3275
965	90416	3182
966	90509	3088
967	90603	2995
968	90696	2901
969	90787	2807
970	90880	2714
971	90975	2620
972	91073	2527
973	91164	2433
974	91256	2339
975	91350	2246
976	91443	2152
977	91532	2059
978	91623	1965
979	91713	1871
980	91805	1778
981	91897	1684
982	91989	1590
983	92083	1497
984	92178	1403
985	92269	1310
986	92363	1216
987	92460	1123
988	92554	1029
989	92647	935
990	92739	842
991	92832	748
992	92924	655
993	93017	561
994	93108	467
995	93198	374
996	93290	280
997	93381	187
998	93477	93
999	93569	0
